icao,iata,name,city,state,country,elevation,lat,lon,tz
00AK,,Lowell Field,Anchor Point,Alaska,US,450,59.94919968,-151.6959991,America/Anchorage
00AL,,Epps Airpark,Harvest,Alabama,US,820,34.8647995,-86.77030182,America/Chicago
00AZ,,Cordes Airport,Cordes,Arizona,US,3810,34.30559921,-112.1650009,America/Phoenix
00CA,,Goldstone /Gts/ Airport,Barstow,California,US,3038,35.3504982,-116.8880005,America/Los_Angeles
00CL,,Williams Ag Airport,Biggs,California,US,87,39.42718888,-121.7634278,America/Los_Angeles
00CO,,Cass Field,Briggsdale,Colorado,US,4830,40.62220001,-104.3440018,America/Denver
00FA,,Grass Patch Airport,Bushnell,Florida,US,53,28.64550018,-82.21900177,America/New_York
00FL,,River Oak Airport,Okeechobee,Florida,US,35,27.23089981,-80.96920013,America/New_York
00GA,,Lt World Airport,Lithonia,Georgia,US,700,33.76750183,-84.06829834,America/New_York
00ID,,Delta Shores Airport,Clark Fork,Idaho,US,2064,48.14530182,-116.2139969,America/Los_Angeles
00IL,,Hammer Airport,Polo,Illinois,US,840,41.97840118,-89.56040192,America/Chicago
00IS,,Hayenga's Cant Find Farms Airport,Kings,Illinois,US,820,40.02560043,-89.12290192,America/Chicago
00KS,,Hayden Farm Airport,Gardner,Kansas,US,1100,38.72779846,-94.93049622,America/Chicago
00KY,,Robbins Roost Airport,Stanford,Kentucky,US,1265,37.40940094,-84.61969757,America/New_York
00LS,,Lejeune Airport,Esterwood,Louisiana,US,12,30.13629913,-92.42939758,America/Chicago
00MD,,Slater Field,Federalsburg,Maryland,US,45,38.75709915,-75.75379944,America/New_York
00MN,,Battle Lake Municipal Airport,Battle Lake,Minnesota,US,1365,46.29999924,-95.70030212,America/Chicago
00MO,,Cooper Flying Service Airport,Alba,Missouri,US,970,37.20280075,-94.41239929,America/Chicago
00MT,,Sands Ranch Airport,Havre,Montana,US,2600,48.53749847,-109.7050018,America/Denver
00NC,,North Raleigh Airport,Louisburg,North Carolina,US,348,36.08520126,-78.37139893,America/New_York
00NY,,Weiss Airfield,West Bloomfield,New York,US,1000,42.90010071,-77.49970245,America/New_York
00OH,,Exit 3 Airport,Wauseon,Ohio,US,785,41.59090042,-84.14219666,America/New_York
00PN,,Ferrell Field,Mercer,Pennsylvania,US,1301,41.2995,-80.211111,America/New_York
00PS,,Thomas Field,Loysville,Pennsylvania,US,815,40.37779999,-77.36530304,America/New_York
00SC,,Flying O Airport,Sumter,South Carolina,US,150,34.00939941,-80.26719666,America/New_York
00TN,,Ragsdale Road Airport,Manchester,Tennessee,US,1100,35.51589966,-85.95359802,America/Chicago
00TS,,Alpine Range Airport,Everman,Texas,US,670,32.60760117,-97.24199677,America/Chicago
00TX,,Delva Field,Van,Texas,US,545,32.544452,-95.67313,America/Chicago
00VA,,Vaughan Airport,Alton,Virginia,US,551,36.57600021,-78.9991684,America/New_York
00VI,,Groundhog Mountain Airport,Hillsville,Virginia,US,2680,36.66329956,-80.49949646,America/New_York
00WA,,Howell Airport,Longbranch,Washington,US,150,47.17839813,-122.7720032,America/Los_Angeles
00WI,,Northern Lite Airport,Waupaca,Wisconsin,US,860,44.3042984,-89.05010223,America/Chicago
00WN,,Hawks Run Airport,Asotin,Washington,US,2900,46.25,-117.2490005,America/Los_Angeles
00WV,,Lazy J. Aerodrome,Beverly,West Virginia,US,2060,38.82889938,-79.8660965,America/New_York
