=== Airports Without IATA Codes ===
ICAO,Name,City,Country
00AK,Lowell Field,Anchor Point,US
00AL,Epps Airpark,Harvest,US
00AZ,Cordes Airport,Cordes,US
00CA,Goldstone /Gts/ Airport,Barstow,US
00CL,Williams Ag Airport,Biggs,US
00CO,Cass Field,Briggsdale,US
00FA,Grass Patch Airport,Bushnell,US
00FL,River Oak Airport,Okeechobee,US
00GA,Lt World Airport,Lithonia,US
00ID,Delta Shores Airport,Clark Fork,US
00IL,Hammer Airport,Polo,US
00IS,Hayenga's Cant Find Farms Airport,Kings,US
00KS,Hayden Farm Airport,Gardner,US
00KY,Robbins Roost Airport,Stanford,US
00LS,Lejeune Airport,Esterwood,US
00MD,Slater Field,Federalsburg,US
00MN,Battle Lake Municipal Airport,Battle Lake,US
00MO,Cooper Flying Service Airport,Alba,US
00MT,Sands Ranch Airport,Havre,US
00NC,North Raleigh Airport,Louisburg,US
00NY,Weiss Airfield,West Bloomfield,US
00OH,Exit 3 Airport,Wauseon,US
00PN,Ferrell Field,Mercer,US
00PS,Thomas Field,Loysville,US
00SC,Flying O Airport,Sumter,US
00TN,Ragsdale Road Airport,Manchester,US
00TS,Alpine Range Airport,Everman,US
00TX,Delva Field,Van,US
00VA,Vaughan Airport,Alton,US
00VI,Groundhog Mountain Airport,Hillsville,US
00WA,Howell Airport,Longbranch,US
00WI,Northern Lite Airport,Waupaca,US
00WN,Hawks Run Airport,Asotin,US
00WV,Lazy J. Aerodrome,Beverly,US
00XS,L P Askew Farms Airport,O'Donnell,US
01AL,Ware Island Airport,Clanton,US
01CL,Swansboro Country Airport,Placerville,US
01FA,Rybolt Ranch Airport,Orlando,US
01FL,Cedar Knoll Flying Ranch Airport,Geneva,US
01GE,The Farm Airport,Wrightsville,US
01IA,Stender Airport,Maysville,US
01ID,Lava Hot Springs Airport,Lava Hot Springs,US
01II,Myers Field,Lizton,US
01IS,William E. Koenig Airport,Dow,US
01KS,Flying N Ranch Airport,Lost Springs,US
01LA,Barham Airport,Oak Ridge,US
01LL,Schumaier Restricted Landing Area,Pinckneyville,US
01LS,Country Breeze Airport,Slaughter,US
01MT,Crystal Lakes Resort Airport,Fortine,US
01NC,Topsail Airpark,Holly Ridge,US
01NE,Detour Airport,Wellfleet,US
01NH,Moore Airfield,Enfield,US
01NM,Champion Ranch Airport,Artesia,US
01NV,Lantana Ranch Airport,Yerington,US
01OK,Lawrence Airport,Eakly,US
01OR,Red & White Flying Service Airport,Silver Lake,US
01PN,Bierly(Personal Use) Airport,Bellefonte,US
01PS,Nort's Resort Airport,Meshoppen,US
01SC,York Airport,York,US
01TE,Smith Field,Forney,US
01TN,Colonial Air Park,Collierville,US
01TX,Mims Farm Ultralightport,Waxahachie,US
01UT,La Sal Junction Airport,La Sal,US
01VA,Pickles Airport,Berryville,US
01WI,Prehn Cranberry Company Airport,Tomah,US
01WY,Keyhole Airport,Moorcroft,US
02AK,Rustic Wilderness Airport,Willow,US
02AL,Bass Field,Foley,US
02AR,Three Rivers Airport,Little Rock,US
02AZ,Winchester Farm Airstrip,Willcox,US
02CD,Shannon Field,Clarksdale,US
02CL,Conover Air Lodge Airport,Frazier Park,US
02CO,Mc Cullough Airport,Monte Vista,US
02FA,Osborn Airfield,Groveland,US
02FL,Cuchens Airport,Defuniak Springs,US
02GA,Doug Bolton Field,Commerce,US
02GE,Etowah Fields Airport,Euharlee,US
02ID,Morgan Ranch Airport,Cascade,US
02II,King Ultralightport,Westfield,US
02IN,Diamond P. Field,Muncie,US
02KS,Jmj Landing Airport,St Marys,US
02ME,Nadeaus' Airfield,Acton,US
02MI,Fairplains Airpark,Greenville,US
02MN,Greenbush Municipal Airport,Greenbush,US
02MO,Troy Airpark,Troy,US
02MS,Watts Field,Rochdale,US
02MT,Barrett Field,Cascade,US
02MU,Timber Line Airpark,Cassville,US
02NE,Benes Service Airport,Valparaiso,US
02NV,Paiute Meadows Airport,Winnemucca,US
02OH,Zimmerman Airport,Fremont,US
02OI,Murtha Airport,Conneaut,US
02OR,Rowena Dell Airport,The Dalles,US
02PR,Cuylers Airport,Vega Baja,PR
02PS,Hughes Ultralightport,Tioga,US
02SC,Harpers Airport,Estill,US
02TN,Ellis Field,Murfreesboro,US
02TS,El Tesoro Ranch Airport,Charlotte,US
02TX,The Palms At Kitty Hawk Airport,New Home,US
02UT,Lucin Airport,Lucin,US
02VA,The Greenhouse Airport,Culpeper,US
02WA,Cawleys South Prairie Airport,South Prairie,US
02WI,Beer Airport,Hudson,US
02WN,Fowler Field,Tonasket,US
02XS,Seidel Ranch Airport,Elroy,US
03AZ,Thompson International Aviation Airport,Hereford,US
03CO,Kugel-Strong Airport,Platteville,US
03FA,Lake Persimmon Airstrip,Lake Placid,US
03FD,Tharpe Airport,Bonifay,US
03IA,East Field,Montezuma,US
03ID,Flying Y Ranch Airport,Council,US
03II,Davis Field Ultralightport,Mount Vernon,US
03IL,Wix Airport,Monee,US
03IN,Heinzman Airport,Arcadia,US
03KY,Flying H Farms Airport,Henderson,US
03MA,Hadley Airport,Hadley,US
03ME,Maple Ridge Airport,Harrison,US
03MN,Nauerth Land Ranch Airport,Lakefield,US
03MO,Cahoochie Airport,Urbana,US
03MT,Cascade Airport,Cascade,US
03MU,Mc Donnell Airport,Archie,US
03NC,Pilots Ridge Airport,Carolina Beach,US
03ND,Olafson Brothers Airport,Edinburg,US
